d1,d2,d3,L,a,b
0.0136335657339,0.113627307013,0.0140023956949,85.1105274079,-26.0806707696,11.367575163
0.0289213679415,0.88175477177,0.0316875733488,32.4684746341,-9.04121569716,-20.4875130061
0.0247122897993,0.445240878838,0.0186721494754,41.1565915317,-47.3967403617,-17.1243232601
0.0333984660082,0.149367206521,0.0333210573388,40.3951424951,19.9415020239,38.6829023272
0.0486755999984,0.749326700489,0.00278391029753,21.7548767352,6.85241489482,-18.081996783
0.0215974717122,0.540245329845,0.00716038282811,58.6473318918,28.1767239859,-25.9878037381
0.015867986049,0.221735028784,0.0304310648332,24.3979593396,49.6101238673,-66.0471229618
0.0295486709779,0.648598159207,0.00441393725996,46.2423120029,-13.0642292702,-17.2819546867
0.0492182268753,0.985585731522,0.0440510040826,9.70714384785,14.6039784381,-20.6062557242
0.0307201580283,0.367320669541,0.0386659608089,21.3057984272,53.4717669814,-25.2187440913
0.0219171167914,0.554522060703,0.00381420586733,57.8168830079,17.9164593023,-25.0459153077
0.0426839090414,0.620025791375,0.043876583993,9.20518726403,-15.8927159467,-8.78772699781
0.0406651947115,0.0962304609412,0.0461536665728,7.52010247964,68.0046015834,-71.3028217664
0.0197424282651,0.622576458932,0.0468546476744,19.4597585979,-23.8756788371,-10.2284233123
0.0367028323028,0.668134347053,0.0193109081475,33.672792839,-22.2151125516,-16.8819526437
0.00604582157175,0.916951889009,0.0386062108663,36.3248903666,7.13177294869,-17.2539038726
0.0302153152192,0.629336056721,0.00764360920464,42.3979258379,-20.1005330183,-15.3793517549
0.0151378643689,0.854106570452,0.00574513036521,71.851102299,-11.2174642652,-16.3141407204
0.0245375181311,0.931955722607,0.0148842998728,48.0888081476,9.91746775629,-16.1958900863
0.0412625155637,0.705164323566,0.0125779447632,30.1969194574,6.00162800892,-22.9747814179
0.0153144944836,0.159768559903,0.00123699891256,72.737595027,0.789401456722,-12.0100977933
0.0406778750118,0.432244111976,0.0346710216877,11.721542377,-0.712330226032,-34.3528881452
0.0413798560261,0.282337345043,0.00573690469519,32.4204640437,-16.8716442836,-13.2349084509
0.00471535992278,0.273088819093,0.00418503208596,94.9206403507,-7.74027825548,4.00593526381
0.0210582841457,0.304095368398,0.0325722528997,49.1465224768,-68.5103573768,29.9258541471
0.0214289190359,0.0966424369645,0.0400962020516,27.1079696964,29.2488256409,-64.6916009494
0.00969154668824,0.875664553553,0.00942049537426,78.6332993425,-7.93675264888,-11.2308761811
0.00524855010693,0.807216241724,0.0348288781044,41.857528883,-5.5721299851,-21.3805013807
0.00174909736016,0.484117674518,0.0465197173548,29.5023725184,8.12910718115,-17.7289232459
0.00461285015685,0.457880537614,0.0436743807853,33.5145789853,-21.1588683811,-5.53244899551
0.0415599874419,0.909492508805,0.0320488035124,20.6198362347,-0.787361712576,-14.6511296662
0.01477376427,0.325067646373,0.0467769409316,32.8884500323,-8.73235793105,17.0710976253
0.0164080764907,0.304662501755,0.0204073143224,68.5333945662,-53.7515290463,29.8786151597
0.0259056802465,0.115565193803,0.00358094975726,58.3735988635,-5.22826966675,-12.0189324572
0.0186277398541,0.322308315149,0.0386854167739,42.8734174321,-24.0281370244,28.8099087345
0.00335980821707,0.773405754683,0.0330671549972,44.1884808761,0.0433042160123,-18.7689552712
0.0144321230797,0.0147732869905,0.0395548609288,15.5342556551,5.14826055476,-19.4202681589
0.0194641975736,0.69621969488,0.0129258644927,61.2072111975,-2.29459232754,-21.2356806658
0.0454073568897,0.345240178157,0.00928714201577,26.7187954355,15.3058922092,-7.02475356129
0.00345424141697,0.98250066638,0.037953460861,38.2965455069,1.26043034129,-20.8659608761
0.0042362235875,0.712739627603,0.0494006039185,24.5809044727,10.2424066273,-18.5187888218
9.75495166888e-05,0.702785712099,0.0423547865044,32.3788251247,8.63294997953,-19.0693129697
0.0268292660348,0.702275230152,0.0273027667585,40.0148248772,1.58795952461,-25.3194414336
0.0186350625919,0.523189661434,0.0438403566737,30.4055910499,13.9457229004,-19.0260998234
0.0371330389624,0.530078947006,0.0181565744789,34.6783226528,21.1748562641,-22.9953874089
0.00710025415352,0.609761085336,0.0103465489566,78.2688352792,-20.7708285385,-8.12783957067
0.0364796095526,0.990568730112,0.0135981645274,33.0703224165,8.9792315029,-23.1653891206
0.0149632876469,0.529034987068,0.0284410246313,49.6012777692,28.459893017,-24.5150948049
0.0301761766504,0.135959648015,0.00129725052675,47.0641666884,0.350454978693,-16.226215208
0.0075060341812,0.597132121236,0.0173107870243,64.2879564539,-10.7670182066,-15.8447458732
0.00441358660086,0.262881639297,0.0482483032777,28.7722116142,-17.5374746473,-11.2084931227
0.0331075906752,0.902307342382,0.000831028974231,40.989888743,1.96877454942,-20.2351790091
0.000315342995426,0.889136059699,0.0483796888919,25.9722139639,5.51867329799,-16.8527000081
0.00688932723086,0.630897601864,0.040420060912,34.3177429396,-20.251499077,-13.9102181812
0.0292353869079,0.862315601433,0.0425524103003,23.4393322551,-7.49146781382,-22.3065865182
0.0201676359649,0.63058512966,0.042620511358,24.3033755436,-32.8255750723,-9.0832416806
0.00960406811058,0.524980028303,0.0200209571766,65.371984308,28.3851828943,-21.2043524991
0.0160216867844,0.830835785975,0.0433897103079,27.9246140385,-7.3563073222,-22.7258737045
0.0188903416309,0.963686757664,0.0412793936122,27.6847473756,15.7497988349,-20.8752282265
0.00177581809521,0.805469085137,0.00593756528414,92.9279731587,-6.04901212516,-4.27588419019
0.019109553231,0.824682451146,0.0241248228272,46.6500169674,-12.7838842302,-23.8330953475
0.026958702817,0.458484507504,0.011497776682,48.0399385352,-49.0877568346,-4.54916458841
0.0329839955734,0.417460258827,0.0142104741112,27.7678445759,18.4671384658,-48.8316871136
0.00549585589643,0.446599758615,0.0283419825466,53.604435115,-36.1494029494,-4.72675835928
0.0133186634893,0.744365394652,0.0378934331919,33.9389460682,20.0203272057,-17.6135087352
0.0322660198634,0.0661309421803,0.0242472801096,14.9882360603,28.7221445589,-45.1347574966
0.0279620265371,0.366935812107,0.00121485628667,48.1755498446,6.99504085447,-22.4107142288
0.0209184608826,0.584893113071,0.0222837711413,40.0143762748,34.4853589389,-32.9559315767
0.0204327367173,0.969611098671,0.00143121160538,62.3452901044,1.26966889664,-18.2703476735
0.0139518132233,0.952815901134,0.0398390939681,31.425732071,14.4234469828,-19.6391497095
0.00219065193015,0.677512342689,0.0471430041512,28.0418137715,7.40016437053,-20.5640896866
0.034846340985,0.649923964622,0.0192310215863,33.7563643189,-35.2397162131,-11.5261281105
0.00726535821353,0.297747020626,0.0104970258141,88.4874151897,-13.3883026194,15.2605090837
0.0366176554169,0.202493700424,0.000325368654909,35.6916968128,3.14851769557,-20.8135709282
